Branch Plant,Global Bulk Item,Bulk Item,2nd Item Number,Commodity Class,Sub Class,Master Planning Family,Safety Stock,Shelf Life,Stock Type,GL Category,Leadtime Level,Leadtime MFG,Location,Lot Number,Status,Quantity On Hand,Primary UOM,Hard Commit,A1 Cost,B1 Cost,C1 Cost,C2 Cost,Lot Number1,Supplier Lot Number,On Hand Date,Expiration Date Month,TIME
CIN2,104DPM,104DPM,104DPM,WET,WAO,RCB,70,1825,P,IN30,35,42,G360105B,618048,"",400,LB,0,$3209,$0,$0,$0,618048,UC25B14547,2026-03-16 00:00:00,2030-11-19 00:00:00,2026-07-14 00:00:00
AUBA,104DPM,104DPM.E,104DPM.E,WET,WAO,RCB,0,180,P,IN30,60,0,ACD0208,603660,E,126,KG,0,$2751,$0,$0,$0,603660,UC21C08432,2023-02-17 00:00:00,2026-04-10 00:00:00,2026-07-14 00:00:00
SING,104DPM,104DPM.S,104DPM.S,WET,WAO,RCB,31.8,730,P,IN30,164,18,B01,617918,"",6,KG,0,$105,$0,$0,$0,617918,UC25213417,2026-03-06 00:00:00,2030-03-01 00:00:00,2026-07-14 00:00:00
SING,104DPM,104DPM.S,104DPM.S,WET,WAO,RCB,31.8,730,P,IN30,164,18,B01,618554,"",153,KG,0,$2657,$0,$0,$0,618554,UC25B14547,2026-04-16 00:00:00,2030-11-19 00:00:00,2026-07-14 00:00:00
CINC,104PA,104PA,104PA,WET,WAO,RCB,0,1825,P,IN30,1,42,D0809,611207,"",37,LB,0,$389,$0,$0,$0,611207,UC24712631,2024-09-26 00:00:00,2029-07-24 00:00:00,2026-07-14 00:00:00
AUBA,104PA,104PA.E,104PA.E,WET,WAO,REC,0,1825,P,IN30,50,0,ACF0101,610662,"",80,KG,0,$1258,$0,$0,$0,610662,NC23528047,2024-08-20 00:00:00,2028-04-13 00:00:00,2026-07-14 00:00:00
SING,104PA,104PA.S,104PA.S,WET,WAO,RCB,5,730,P,IN30,150,18,RM1,611047,"",91,KG,0,$1132,$0,$0,$0,611047,UC23610940,2024-09-17 00:00:00,2028-06-29 00:00:00,2026-07-14 00:00:00
AUB2,127PAR,127PAR.E,127PAR.E,SYN,WPA,REC,1750,1825,P,IN30,30,0,JOST,618031,"",2400,KG,0,$4824,$0,$0,$0,618031,0000470384,2026-03-16 00:00:00,2031-02-11 00:00:00,2026-07-14 00:00:00
AUB2,127PAR,127PAR.E,127PAR.E,SYN,WPA,REC,1750,1825,P,IN30,30,0,JOST,618716,"",1600,KG,0,$3216,$0,$0,$0,618716,0000470384,2026-04-27 00:00:00,2031-02-11 00:00:00,2026-07-14 00:00:00
AUB2,127PAR,127PAR.E,127PAR.E,SYN,WPA,REC,1750,1825,P,IN30,30,0,JOST,618717,"",800,KG,0,$1608,$0,$0,$0,618717,0000472724,2026-04-27 00:00:00,2031-03-16 00:00:00,2026-07-14 00:00:00
AUB2,127PAR,127PAR.E,127PAR.E,SYN,WPA,REC,1750,1825,P,IN30,30,0,JOST,619564,"",3200,KG,0,$6432,$0,$0,$0,619564,0000479944,2026-07-06 00:00:00,2031-06-16 00:00:00,2026-07-14 00:00:00
AUBA,127PAR,127PAR.E,127PAR.E,SYN,WPA,REC,0,1825,P,IN30,30,0,ACD10,618031,"",534,KG,0,$1074,$0,$0,$0,618031,0000470384,2026-03-16 00:00:00,2031-02-11 00:00:00,2026-07-14 00:00:00
CINC,127PARL,127PARL,127PARL,SYN,WPA,REC,0,1095,P,IN30,7,14,H0105,619616,"",67894,LB,0,$75362,$0,$0,$0,619616,F2600712,2026-07-09 00:00:00,2029-07-08 00:00:00,2026-07-14 00:00:00
SING,140FUW,140FUW.S,140FUW.S,SYN,WPA,REC,0,730,P,IN30,74,0,C04,27000982,"",115,KG,0,$178,$0,$0,$0,27000982,BN20660-M082006,2026-01-27 00:00:00,2028-01-27 00:00:00,2026-07-14 00:00:00
SNG4,140FUW,140FUW.S,140FUW.S,SYN,WPA,REC,18000,730,P,IN30,74,0,"",27000982,"",3600,KG,0,$5580,$0,$0,$0,27000982,BN20660-M082006,2026-01-27 00:00:00,2028-01-27 00:00:00,2026-07-14 00:00:00
SNG4,140FUW,140FUW.S,140FUW.S,SYN,WPA,REC,18000,730,P,IN30,74,0,"",27001187,"",24000,KG,0,$37200,$0,$0,$0,27001187,BN20660-N031024,2026-04-23 00:00:00,2028-04-22 00:00:00,2026-07-14 00:00:00
CINC,141PAR,141PAR,141PAR,SYN,WPA,REC,0,1825,P,IN30,21,28,D0612,610092,"",17,LB,0,$26,$0,$0,$0,610092,T2401880,2024-07-10 00:00:00,2029-06-29 00:00:00,2026-07-14 00:00:00
AUB2,141PAR,141PAR.E,141PAR.E,SYN,WPA,REC,8000,1825,P,IN30,40,0,JOST,618988,"",16560,KG,0,$33286,$0,$0,$0,618988,0000476221,2026-05-20 00:00:00,2031-04-23 00:00:00,2026-07-14 00:00:00
AUB2,141PAR,141PAR.E,141PAR.E,SYN,WPA,REC,8000,1825,P,IN30,40,0,JOST,619565,"",16640,KG,0,$33446,$0,$0,$0,619565,0000476438,2026-07-06 00:00:00,2031-04-28 00:00:00,2026-07-14 00:00:00
AUBA,141PAR,141PAR.E,141PAR.E,SYN,WPA,REC,0,1825,P,IN30,40,0,ACD04,618988,"",350,KG,0,$704,$0,$0,$0,618988,0000476221,2026-05-20 00:00:00,2031-04-23 00:00:00,2026-07-14 00:00:00
SING,141PAR,141PAR.S,141PAR.S,SYN,WPA,REC,0,730,P,IN30,98,18,INCOMING,27001031,"",412,KG,0,$1484,$0,$0,$0,27001031,616598,2026-02-24 00:00:00,2028-02-24 00:00:00,2026-07-14 00:00:00
SNG4,141PAR,141PAR.S,141PAR.S,SYN,WPA,REC,0,730,P,IN30,98,18,"",27001031,"",7371,KG,0,$26550,$0,$0,$0,27001031,616598,2026-02-24 00:00:00,2028-02-24 00:00:00,2026-07-14 00:00:00
SNG4,141PAR,141PAR.S,141PAR.S,SYN,WPA,REC,0,730,P,IN30,98,18,"",27001148,"",11961,KG,0,$43084,$0,$0,$0,27001148,617214,2026-04-09 00:00:00,2028-04-08 00:00:00,2026-07-14 00:00:00
CINC,141PARL,141PARL,141PARL,SYN,WPA,REC,0,1095,P,IN30,7,14,H0103,619218,"",17860,LB,0,$20539,$0,$0,$0,619218,F2600590,2026-06-08 00:00:00,2029-06-07 00:00:00,2026-07-14 00:00:00
CINC,141PARL,141PARL,141PARL,SYN,WPA,REC,0,1095,P,IN30,7,14,H0103,619542,"",36395,LB,0,$41854,$0,$0,$0,619542,F2600640,2026-07-02 00:00:00,2029-06-14 00:00:00,2026-07-14 00:00:00
CINC,141PARL,141PARL,141PARL,SYN,WPA,REC,0,1095,P,IN30,7,14,H0107,618908,"",20952,LB,0,$24095,$0,$0,$0,618908,F2600438,2026-05-12 00:00:00,2029-04-28 00:00:00,2026-07-14 00:00:00
CINC,141PARL,141PARL,141PARL,SYN,WPA,REC,0,1095,P,IN30,7,14,H0107,619384,"",31955,LB,0,$36748,$0,$0,$0,619384,F2600640,2026-06-19 00:00:00,2029-06-15 00:00:00,2026-07-14 00:00:00
AUBA,151165PX,151165PX.E,151165PX.E,"",L,FEC,0,365,Q,IN32,1,30,ADG05,4557657,E,567,KG,0,$1579,$28,$117,$197,4557657,4557657,2025-02-26 00:00:00,2026-02-26 00:00:00,2026-07-14 00:00:00
CIN2,15S15,15S15,15S15,SUR,SNI,RRC,0,730,P,IN30,56,63,F18,618865,"",462,LB,0,$1635,$0,$0,$0,618865,D358Q25000,2026-05-07 00:00:00,2028-02-05 00:00:00,2026-07-14 00:00:00
CINC,15S15,15S15,15S15,SUR,SNI,RRC,455,730,P,IN30,1,63,D0306B11,617712,"",981,LB,0,$3471,$0,$0,$0,617712,D358Q18000,2026-02-18 00:00:00,2028-02-18 00:00:00,2026-07-14 00:00:00
CINC,15S15,15S15,15S15,SUR,SNI,RRC,455,730,P,IN30,1,63,D0306C16,618865,"",1386,LB,0,$4906,$0,$0,$0,618865,D358Q25000,2026-05-07 00:00:00,2028-02-05 00:00:00,2026-07-14 00:00:00
AUBA,15S15,15S15.E,15S15.E,SUR,SNI,RRC,0,730,P,IN30,90,0,ACD02,604521,E,580,KG,0,$3686,$0,$0,$0,604521,D358M52003,2023-04-20 00:00:00,2026-06-30 00:00:00,2026-07-14 00:00:00
CIN2,15S40,15S40,15S40,SUR,SNI,RCB,675,730,P,IN30,14,21,G37,619152,"",1538,LB,0,$5660,$0,$0,$0,619152,0875R00663,2026-06-02 00:00:00,2028-02-25 00:00:00,2026-07-14 00:00:00
SING,15S5,15S5.S,15S5.S,SUR,SNI,RRC,50,365,P,IN30,194,18,C01,27001170,"",306,KG,0,$2174,$0,$0,$0,27001170,D358PCD003,2026-04-14 00:00:00,2027-04-14 00:00:00,2026-07-14 00:00:00
CIN2,15S7,15S7,15S7,SUR,SNI,RCB,0,730,P,IN30,14,21,G360112B,619422,"",402,LB,0,$1447,$0,$0,$0,619422,0077R02344,2026-06-22 00:00:00,2028-03-29 00:00:00,2026-07-14 00:00:00
